link,headline,category,short_description,authors,date
https://www.huffingtonpost.com/entry/puerto-rico-schools-closure_us_5ac7d250e4b09d0a1193b3bb,Puerto Rico To Shutter 283 More Schools This Summer As Education Crisis Deepens,EDUCATION,The U.S. territory's Department of Education blamed plummeting enrollment since the hurricane and ongoing financial woes.,Dominique Mosbergen,2018-04-06
https://www.huffingtonpost.com/entry/oklahoma-teachers-begin-110-mile-march-to-protest-education-funding_us_5ac5114ae4b056a8f597be78,Oklahoma Teachers Begin 110-Mile March To Protest Education Funding,EDUCATION,Many of the state's school districts have shut down through the end of the week.,Sebastian Murdock,2018-04-04
https://www.huffingtonpost.com/entry/kentucky-teacher-protests_us_5ac29c76e4b04646b6454b03,"Teachers Swarm Kentucky Capitol To Protest Pension Changes, School Budget Cuts",EDUCATION,"“We feel demoralized, we feel assaulted, and we feel like we’ve been marginalized. We’re angry.”",Travis Waldron,2018-04-02
https://www.huffingtonpost.com/entry/lullaby-of-algebra-how-mixing-music-and-math-helps_us_5abe85f4e4b0f8e84843375a,Lullaby Of Algebra: How Mixing Music And Math Helps Engage Students,EDUCATION,"On and off throughout their lessons, students sing math formulas and do math-related dance moves.","EdSource, Editorial Partner",2018-03-30
https://www.huffingtonpost.com/entry/threat-assessments-crucial-to-prevent-school-shootings_us_5abd0af7e4b075a5c9a465f7,Threat Assessments Crucial To Prevent School Shootings,EDUCATION,"In the small number of very serious threats, schools can recognize the danger, collaborate with law enforcement and keep schools safe.","The Conversation US, Editorial Partner",2018-03-30
https://www.huffingtonpost.com/entry/iraq-high-school-us-curriculum_us_5aa2fc8be4b086698a9dd08b,How American High Schools Teach The Iraq War,EDUCATION,It's hard to teach history that isn't quite history yet.,Nick Robins-Early and Rebecca Klein,2018-03-17
https://www.huffingtonpost.com/entry/west-virginia-teacher-strike-might-not-be-over-yet_us_5a970a85e4b0e6a5230453f0,The West Virginia Teacher Strike Not Over Yet,EDUCATION,"Schools in West Virginia will remain closed Thursday, despite a deal between union leaders and the governor.",Dave Jamieson,2018-02-28
https://www.huffingtonpost.com/entry/deal-reached-west-virginia-teacher-strike_us_5a95fd25e4b0e6a523026967,Tentative Deal Reached To End West Virginia Teacher Strike,EDUCATION,"Teachers will get a 5 percent raise, and state employees will get a 3 percent raise. But there's no clear fix to the employee health care plan.",Dave Jamieson,2018-02-28
https://www.huffingtonpost.com/entry/west-virginia-teachers-first-strike-in-28-years_us_5a948bb6e4b0699553cb6e0a,Why West Virginia Teachers Are On Their First Strike In 28 Years,EDUCATION,It's not really about the money. It's about keeping teachers in their home state.,Dave Jamieson,2018-02-27
https://www.huffingtonpost.com/entry/university-admissions-support-student-protesters_us_5a91129ee4b0ee6416a37ca1,Universities Tell Applicants That Protesting Gun Violence Won’t Affect Admissions,EDUCATION,Student walkouts for gun control have gone nationwide following the recent shooting at Marjory Stoneman Douglas High School.,Carla Herreria,2018-02-24
https://www.huffingtonpost.com/entry/west-virginia-teachers-strike_us_5a90442de4b0ee6416a2e325,West Virginia Teachers Are Making Sure Their Students Get Fed While They're On Strike,EDUCATION,A lot of kids would go hungry if not for school. That's one reason the teachers announced their walkout well ahead of time.,Dave Jamieson,2018-02-23
https://www.huffingtonpost.com/entry/exercise-to-improve-kids-brains_us_5a8da4f1e4b0d2548d37c4c2,The Simple Way A Growing Number Of States Are Hoping To Improve Kids' Brains,EDUCATION,"By Lillian Mongeau, The Hechinger Report APPLETON, Wisc. — Middle school students at Kaleidoscope Academy, a district charter","The Hechinger Report, Editorial Partner",2018-02-21
https://www.huffingtonpost.com/entry/texas-gun-protest-suspension_us_5a8dd638e4b077f5bfea8c70,Texas District Says Students Protesting Gun Violence Will Get Suspended,EDUCATION,"""A disruption of the school will not be tolerated,"" says the head of the Needville Independent School District.",Hayley Miller,2018-02-21
https://www.huffingtonpost.com/entry/company-that-sells-bulletproof-gucci-and-herm%C3%A8s-bags-sees-huge-sales-in-school-backpacks_us_5a8c5017e4b0273053a52105,Company That Sells Bulletproof Gucci And Hermès Bags Sees Huge Sales In School Backpacks,EDUCATION,The Florida school shooting that left 17 people dead has triggered a rise in the sales of bulletproof backpacks. On Thursday,"Elise Solé, Yahoo Lifestyle",2018-02-20
https://www.huffingtonpost.com/entry/while-teachers-fight-for-better-pay-west-virginia-lawmakers-discuss-opossums_us_5a7b1723e4b0d0ef3c0b7f41,"While Teachers Fight For Better Pay, West Virginia Lawmakers Discuss Opossums",EDUCATION,"On average, teachers in West Virginia are some of the lowest paid in the U.S.",Sara Boboltz,2018-02-07
https://www.huffingtonpost.com/entry/homeless-students-destroyed-campuses-invisible-injuries_us_5a74b8c2e4b04143429038f0,"Homeless Students, Destroyed Campuses, ‘Invisible Injuries’: What California Schools Learned From Recent Disasters",EDUCATION,"In Santa Barbara County, the fires and mudslides are among the worst disasters in county history.","EdSource, Editorial Partner",2018-02-06
https://www.huffingtonpost.com/entry/columbia-university-refuses-to-recognize-its-graduate-students-union_us_5a70e0cfe4b0a6aa487426e8,Columbia University Refuses To Recognize Graduate Student Union,EDUCATION,The Ivy League school is digging in for a long legal battle -- and relying on Donald Trump to help them out.,Dave Jamieson,2018-01-30
https://www.huffingtonpost.com/entry/what-common-core-won_us_5a5bb57ee4b0a233482e0ca4,What Common Core Won,EDUCATION,I’ve said often that the Common Core failed in its creators’ central goal ― to establish a set of national standards followed,"Peter Greene, ContributorTeacher, blogger, tailgate trombonist",2018-01-14
https://www.huffingtonpost.com/entry/texas-schools-illegal-policies-federal-law_us_5a578f58e4b018a4f8b6ac74,Texas Schools Illegally Excluded Students With Disabilities: Federal Officials,EDUCATION,"“Every child with a disability must have appropriate access to special education and related services that meet his or her unique needs,” Education Secretary Betsy DeVos said.",Sebastian Murdock,2018-01-11
https://www.huffingtonpost.com/entry/east-coast-classrooms-lose-heat_us_5a4d1c45e4b0b0e5a7aa6a24,Children Forced To 'Deal With It' And Bundle Up As Classrooms Lose Heat,EDUCATION,"Up and down the East Coast, the incoming storm is making infrastructure problems worse.",Andy Campbell,2018-01-03
https://www.huffingtonpost.com/entry/nm-charter-school-ceo-steals-public-money-for-15-years_us_5a41b51de4b0d86c803c732b,New Mexico Charter School CEO Steals Public Money For 15 Years. How’s That For Oversight?,EDUCATION,"On Dec. 23, 2017, KOB.com (Albuquerque) published an article concerning the survival of the Southwest Aeronautics Mathematics","Mercedes Schneider, ContributorPublic school teacher, education activist, PhD",2017-12-26
https://www.huffingtonpost.com/entry/newly-reelected-new-york-city-mayor-decides-his-school_us_5a3c7557e4b0d86c803c7095,Newly Reelected New York City Mayor Decides His School Renewal Plan Failed But Still Claims Success,EDUCATION,"The DOE, Farina and de Blasio also fail to explain a number of things about the new program.","Alan Singer, ContributorSocial studies educator, Hofstra University, my opinions, of c...",2017-12-22
https://www.huffingtonpost.com/entry/sesame-workshop-grant-macarthur_us_5a3b6dd5e4b06d1621b1c9fa,'Sesame Street' Wins $100 Million Grant To Create Programming For Refugee Children,EDUCATION,The MacArthur Foundation grant is the largest of its kind.,Rebecca Shapiro,2017-12-21
https://www.huffingtonpost.com/entry/new-devos-loan-forgiveness-plan-another-assault-on_us_5a3ad316e4b06cd2bd03d78e,New DeVos Loan Forgiveness Plan: Another Assault On Students And Gift To Predatory Schools,EDUCATION,"It took Betsy DeVos nearly a year to take any action on the nearly 100,000 applications by former students who assert that","David Halperin, ContributorAttorney, advocate, writer at RepublicReport.org",2017-12-20
https://www.huffingtonpost.com/entry/hungry-on-campus_us_5a3931e3e4b0c65287ac8034,Hungry on Campus,EDUCATION,We need to do much more to facilitate these struggling students’ success.,"Harold O. Levy, ContributorExecutive Director, Jack Kent Cooke Foundation",2017-12-19
https://www.huffingtonpost.com/entry/how-one-california-school-district-is-leading-the-way_us_5a2ee705e4b0cf10effbaf84,How One California School District Is Leading The Way On New Science Standards,EDUCATION,"By Carolyn Jones As schools nationwide take on the most comprehensive overhaul of science standards in 20 years, a school","EdSource, ContributorNonprofit news site focused on education policy and its effects",2017-12-11
https://www.huffingtonpost.com/entry/want-to-start-school-later-avoid-these-10-common-traps_us_5a2dc0a2e4b04e0bc8f3b61d,Want To Start School Later? Avoid These 10 Common Traps,EDUCATION,"Some these could save years of wasted time, effort and resources.","Terra Ziporyn, PhD, ContributorExecutive Director and Co-Founder, Start School Later, Inc.; m...",2017-12-10
https://www.huffingtonpost.com/entry/to-rewrite-obama-rules-devos-picks-people-tied-to_us_5a2348f4e4b0545e64bf93f8,"To Rewrite Obama Rules, DeVos Picks People Tied To Predatory Colleges",EDUCATION,DeVos is letting the foxes draft rules for the henhouse.,"David Halperin, ContributorAttorney, advocate, writer at RepublicReport.org",2017-12-04
https://www.huffingtonpost.com/entry/devos-stands-with-scoundrels-not-students-part-2_us_5a248304e4b05072e8b56a61,"DeVos Stands With Scoundrels, Not Students -- Part 2",EDUCATION,The U.S. Department of Education under Secretary Betsy DeVos this week began the next step in dismantling the rules issued,"David Halperin, ContributorAttorney, advocate, writer at RepublicReport.org",2017-12-04
https://www.huffingtonpost.com/entry/devos-department-meeting-again-stalls-over-opposition_us_5a25927de4b04dacbc9bd987,DeVos Department Meeting Again Stalls Over Opposition To Livestreaming,EDUCATION,Last month the Department of Education’s first meeting on rewriting the Obama “borrower defense” rule for student loans stalled,"David Halperin, ContributorAttorney, advocate, writer at RepublicReport.org",2017-12-04
https://www.huffingtonpost.com/entry/data-numbers-education-and-audiences_us_5a22e491e4b04dacbc9bd7b1,"Data, Numbers, Education And Audiences",EDUCATION,"During the last week, Pat has shown a 6.3 rate of response in class, with a score of 75 on the Hendrix Orientation Scale","Peter Greene, ContributorTeacher, blogger, tailgate trombonist",2017-12-02
https://www.huffingtonpost.com/entry/the-political-is-personal-how-the-gop-tax-on-tuition_us_5a1da31de4b0e6631c44bbca,The Political Is Personal: How The GOP Tax On Tuition Waivers Would Affect My Students,EDUCATION,"The House GOP plan would tax tuition waivers, opening a new front in Republicans’ war on higher education. This plan is particularly","Susan M. Shaw, ContributorProfessor of Women, Gender, & Sexuality Studies, Oregon State ...",2017-11-28
https://www.huffingtonpost.com/entry/judicial-negligence-compounds-political-negligence_us_5a1c1458e4b0250a107c011e,Judicial Negligence Compounds Political Negligence In South Carolina,EDUCATION,The state's longstanding apathy toward the plight of the its poor population and people of color is clear in its courts and its legislature.,"P.L. Thomas, ContributorP.L. Thomas , professor of education (Furman University, Green...",2017-11-27
https://www.huffingtonpost.com/entry/fizz-pop-bang-teachers-find-new-science-standards_us_5a1c7850e4b05d1c376aceca,"Fizz! Pop! Bang! Teachers Find New Science Standards Fun, But Costly",EDUCATION,"By Carolyn Jones With their emphasis on hands-on experiments, California’s new science standards have turned classrooms into","EdSource, ContributorNonprofit news site focused on education policy and its effects",2017-11-27
https://www.huffingtonpost.com/entry/floridas-teacher-gap-is-no-mystery_us_5a14bda5e4b009b331ad75a1,Florida's Teacher Gap Is No Mystery,EDUCATION,There is no reason to be surprised that Florida teachers are “fleeing.”,"Peter Greene, ContributorTeacher, blogger, tailgate trombonist",2017-11-22
https://www.huffingtonpost.com/entry/the-new-tax-attack-on-overly-elite-college-endowments_us_5a15b7c8e4b0815d3ce65bfb,The New Tax Attack On Overly Elite College Endowments Has Potential Merit,EDUCATION,"But the legislation would hurt students, too.","Terry Connelly, ContributorDean Emeritus, Ageno School of Business - Golden Gate University",2017-11-22
https://www.huffingtonpost.com/entry/network-for-public-education-study-exposes-charter_us_5a12ba34e4b0e30a958508c4,Network For Public Education Study Exposes Charter School Scams,EDUCATION,It concludes charter schools are a “failed experiment.”,"Alan Singer, ContributorSocial studies educator, Hofstra University, my opinions, of c...",2017-11-20
https://www.huffingtonpost.com/entry/our-childrens-american-life-the-lockdown-drills_us_5a0d8d41e4b03fe7403f8362,Our Children’s American Life: The Lockdown Drills,EDUCATION,This is the world our children go to school in. This is the world our teachers work in.,"Dina Leygerman, ContributorPolitical and Social Issues Writer",2017-11-16
https://www.huffingtonpost.com/entry/a-call-to-action-for-sleep-friendly-schools_us_5a0c636fe4b060fb7e59d523,A Call To Action For Sleep-Friendly Schools,EDUCATION,Another health organization calls to start school later — and the NEA and National PTA agree.,"Terra Ziporyn, PhD, ContributorExecutive Director and Co-Founder, Start School Later, Inc.; m...",2017-11-15
https://www.huffingtonpost.com/entry/bridgepoint-sec-filing-raises-questions-about-continued_us_5a0b3a78e4b06d8966cf3318,Bridgepoint SEC Filing Raises Questions About Continued Federal Funding,EDUCATION,A filing Monday with the Securities and Exchange Commission by troubled Bridgepoint Education raises questions about the,"David Halperin, ContributorAttorney, advocate, writer at RepublicReport.org",2017-11-14
https://www.huffingtonpost.com/entry/devos-department-stacks-negotiations-deck-with-for_us_5a0b1bf0e4b06d8966cf32d7,DeVos Department Stacks Negotiations Deck With For-Profit College Lawyers,EDUCATION,When Betsy DeVos announced she would repeal and replace the Obama administration’s rules to protect students and taxpayers,"David Halperin, ContributorAttorney, advocate, writer at RepublicReport.org",2017-11-14
https://www.huffingtonpost.com/entry/strategies-for-evaluating-the-trump-presidency-in-a_us_5a09801ce4b0ee8ec3694314,Strategies For Evaluating The Trump Presidency In A High School Classroom,EDUCATION,"At recent meetings a number of social studies teachers asked me for suggestions on how to evaluate, with their high school","Alan Singer, ContributorSocial studies educator, Hofstra University, my opinions, of c...",2017-11-13
https://www.huffingtonpost.com/entry/devos-stands-with-scoundrels-not-students_us_5a08d3cce4b0f1dc729a6c34,"DeVos Stands With Scoundrels, Not Students",EDUCATION,"The department will be on the wrong side of history, the wrong side of justice and the wrong side of our people.","David Halperin, ContributorAttorney, advocate, writer at RepublicReport.org",2017-11-13
https://www.huffingtonpost.com/entry/devos-department-tries-to-block-public-streaming-of_us_5a09caf7e4b060fb7e59d286,DeVos Department Tries To Block Public Streaming Of Student Debt Hearing,EDUCATION,"This is an open government meeting, the record of which should not be censored.","David Halperin, ContributorAttorney, advocate, writer at RepublicReport.org",2017-11-13
https://www.huffingtonpost.com/entry/teacher-seniority-the-seat-belts-of-the-education_us_5a0a056de4b006523921832c,Teacher Seniority: The Seat Belts Of The Education Profession,EDUCATION,You wouldn’t travel a long distance in your car without strapping on a seatbelt. So why do you think teachers should spend,"Steven Singer, ContributorHusband, father, teacher, education advocate",2017-11-13
https://www.huffingtonpost.com/entry/why-does-congress-want-to-take-250-from-every-teacher_us_5a0749d0e4b0f1dc729a6b71,Why Does Congress Want To Take $250 From Every Teacher?,EDUCATION,My wife teaches music in Iowa’s most urban school district. She is assigned to ten different schools where she often teaches,"Patrick J. Kearney, ContributorVeteran teacher and an advocate for public education.  Opinion...",2017-11-11
https://www.huffingtonpost.com/entry/owner-of-troubled-closed-texas-college-now-advises_us_5a0450b1e4b055de8d096acd,"Owner Of Troubled, Closed Texas College Now Advises Another For-Profit School",EDUCATION,Betsy DeVos has turned her back on students hurt by predatory colleges. Look what happens when accountability is weak.,"David Halperin, ContributorAttorney, advocate, writer at RepublicReport.org",2017-11-09
https://www.huffingtonpost.com/entry/times-editorial-hypes-charter-schools_us_5a043a3ce4b0c7511e1b3a27,Times Editorial Hypes Charter Schools,EDUCATION,Do the editors of the New York Times read their own newspaper? The opening line of their pro-charter school editorial offered,"Alan Singer, ContributorSocial studies educator, Hofstra University, my opinions, of c...",2017-11-09
https://www.huffingtonpost.com/entry/la-charter-school-operators-demand-less-oversight_us_59ffb4b5e4b05e3e1f0a025c,"Los Angeles Charter School Operators Demand Less Oversight And Accountability, And Fewer Investigations",EDUCATION,A number of Los Angeles charter schools up for renewal this week are throwing a tantrum if they don’t get their way. Charter,"Donald Cohen, ContributorExecutive Director, In the Public Interest",2017-11-06
https://www.huffingtonpost.com/entry/trumpism-enters-schools-when-school-officials-become_us_5a00416fe4b076eaaae27127,Trumpism Enters Schools When School Officials Become The Bullies,EDUCATION,"Trumpism: “a toxic mix of demagoguery, mean-spiritedness, and nonsense.” – Former Texas Governor Rick Perry, currently United","Alan Singer, ContributorSocial studies educator, Hofstra University, my opinions, of c...",2017-11-06
https://www.huffingtonpost.com/entry/university-of-wisconsin-inferior_us_59fc892fe4b01ec0dede4178,University Of Wisconsin-Inferior,EDUCATION,The University of Wisconsin-Superior became the latest college to try out an education fad while slashing their budget. With,"John A. Tures, ContributorProfessor of Political Science, LaGrange College",2017-11-03
https://www.huffingtonpost.com/entry/democracy-requires-citizenship-education-now-more_us_59faf622e4b09887ad6f3dae,"Democracy Requires Citizenship Education, Now More Than Ever",EDUCATION,"In an 1816 letter to Colonel Charles Yancey, former President Thomas Jefferson wrote: “If a nation expects to be ignorant","Alan Singer, ContributorSocial studies educator, Hofstra University, my opinions, of c...",2017-11-02
https://www.huffingtonpost.com/entry/why-harvard-law-school-matters-a-new-critique_us_59f37200e4b05f0ade1b56e7,Why Harvard Law School Matters: A New Critique,EDUCATION,The esteemed institution's bicentennial celebration grants us an opportunity to grade its accessibility and the value of its work.,"Ralph Nader, ContributorConsumer advocate, lawyer and author",2017-10-27
https://www.huffingtonpost.com/entry/as-california-prepares-for-earthquakes-some-charter_us_59f22b89e4b06ae9067ab733,"As California Prepares For Earthquakes, Some Charter Schools Skirt Safety Rules",EDUCATION,"Last week, students at Los Angeles’s Alliance College-Ready network of charter schools dropped to the floor, crawled under","Donald Cohen, ContributorExecutive Director, In the Public Interest",2017-10-26
https://www.huffingtonpost.com/entry/ohio-charter-e-schools-under-investigation_us_59e87b91e4b0432b8c11ecd1,Ohio Charter E-Schools Under Investigation,EDUCATION,“You can't make a silk purse out of a sow's ear” is an old English proverb (c. 1500) that basically means you can’t turn,"Alan Singer, ContributorSocial studies educator, Hofstra University, my opinions, of c...",2017-10-19
https://www.huffingtonpost.com/entry/school-choice-the-old-wolf-in-new-sheeps-clothing_us_59e8f99fe4b04a400db8afc8,School Choice: The Old Wolf in New Sheep’s Clothing,EDUCATION,Segregation and the evil twins–racism and inequity–are the divide and conquer gifts that keep on giving­ to the rich and,"Arthur H. Camins, ContributorScience Educator, Education Policy Writer. All opinions are hi...",2017-10-19
https://www.huffingtonpost.com/entry/peter-cunninghams-education-post-chaperoned-by-broad_us_59e54e8de4b08c75593ce5fd,Peter Cunningham’s Education Post Chaperoned By Broad Foundation,EDUCATION,"On September 01, 2014, Lyndsey Layton of the Washington Post officially introduced Peter Cunningham’s Education Post to the","Mercedes Schneider, ContributorPublic school teacher, education activist, PhD",2017-10-17
https://www.huffingtonpost.com/entry/i-am-an-eagle-scout-i-would-join-girl-scouts_us_59e4cf61e4b003f928d5e89f,I Am An Eagle Scout. I Would Join Girl Scouts If They Let Me.,EDUCATION,"If Girl Scouts decides to accept boys, I will be one of the first to join.","Matthew Tikhonovsky, ContributorStudent. Youth Activist. Child of Immigrants.",2017-10-16
https://www.huffingtonpost.com/entry/returning-to-class-the-morning-after-a-massacre_us_59e1007de4b09e31db97589a,Returning To Class The Morning After A Massacre,EDUCATION,"Children are especially vulnerable to the trauma caused by acts of community violence, which is particularly noteworthy when the trauma is all-encompassing.","The Atlantic, ContributorExploring the American idea since 1857",2017-10-16
https://www.huffingtonpost.com/entry/yes-it-is-true-i-dont-like-school-choice-i-admire-teachers-unions_us_59de9bc0e4b0eb18af061126,"Yes, It Is True! I Don't Like School Choice! I Admire Teachers' Unions!",EDUCATION,Public schools are part of the promise of America.,"Diane Ravitch, Guest WriterGuest Writer",2017-10-11
https://www.huffingtonpost.com/entry/cmon-matt-damon-youre-better-than-this_us_59dc3ad9e4b060f005fbd684,"C’mon, Matt Damon. You’re Better Than This.",EDUCATION,“Did you know that you were in the trailer for Backpack Full of Cash? Sounds like you actually coined the phrase.” That was,"Jeanne Allen, ContributorEducation Maven, Expert and Entrepreneur",2017-10-10
https://www.huffingtonpost.com/entry/louisiana-has-a-five-year-old-parent-trigger-law_us_59dad885e4b0705dc79aa94d,Louisiana Has A Five-Year-Old 'Parent Trigger' Law That No Parent Has Ever Used,EDUCATION,"On the Louisiana Department of Education (LDOE) website, there is a curious link for “parent petition”: PARENT PETITION In","Mercedes Schneider, ContributorPublic school teacher, education activist, PhD",2017-10-09
https://www.huffingtonpost.com/entry/i-was-blocked-from-facebook-for-criticizing-school_us_59db612fe4b08ce873a8cfa3,I Was Blocked From Facebook For Criticizing School Privatization,EDUCATION,“Journalism is printing what someone else does not want printed: everything else is public relations.” -George Orwell I have,"Steven Singer, ContributorHusband, father, teacher, education advocate",2017-10-09
https://www.huffingtonpost.com/entry/why-we-teach-spoken-word-poetry-to-marginalized-youth-in-des-moines_us_59d7ad62e4b072637c43c13d,Why Marginalized Youth In Des Moines Need Spoken Word Poetry,EDUCATION,"Growing up in a predominantly rural state, with very few people who reflect you as a person, can be isolating.","Emily Lang and Kristopher Rollins, Contributors",2017-10-06
https://www.huffingtonpost.com/entry/why-teachers-suck_us_59d39cace4b092b22a8e3996,Why Teachers Suck,EDUCATION,"Papers, papers everywhere. Susan’s school also has a mandatory mentoring program for new teachers.  Not a bad thing.  However","Bert Fulks, ContributorWriter, speaker, musician, business manager, and non-profit di...",2017-10-03
https://www.huffingtonpost.com/entry/housing-crisis-in-california-forces-more-students-into_us_59d3d87be4b0da85e7f5ec42,Housing Crisis In California Forces More Students Into Homelessness,EDUCATION,"Since 2014, the number of homeless children in California has jumped 20 percent.","EdSource, ContributorNonprofit news site focused on education policy and its effects",2017-10-03
